SHIFT_PORT_GRP_PV,ARRIVEDEPART,WEEKDAY_END_PV,AM_PM_NIGHT_PV,NUMERATOR
b'111',1.0,1.0,1.0,44.0
b'111',1.0,2.0,1.0,16.0
b'111',2.0,1.0,1.0,44.0
b'111',2.0,2.0,1.0,16.0
b'113',1.0,1.0,1.0,44.0
b'113',1.0,2.0,1.0,16.0
b'113',2.0,1.0,1.0,44.0
b'113',2.0,2.0,1.0,16.0
b'119',1.0,1.0,1.0,44.0
b'119',1.0,2.0,1.0,16.0
b'119',2.0,1.0,1.0,44.0
b'119',2.0,2.0,1.0,16.0
b'121',1.0,1.0,1.0,44.0
b'121',1.0,2.0,1.0,16.0
b'121',2.0,1.0,1.0,44.0
b'121',2.0,2.0,1.0,16.0
b'123',1.0,1.0,1.0,44.0
b'123',1.0,2.0,1.0,16.0
b'123',2.0,1.0,1.0,44.0
b'123',2.0,2.0,1.0,16.0
b'131',1.0,1.0,1.0,44.0
b'131',1.0,2.0,1.0,16.0
b'131',2.0,1.0,1.0,44.0
b'131',2.0,2.0,1.0,16.0
b'132',1.0,1.0,1.0,44.0
b'132',1.0,2.0,1.0,16.0
b'132',2.0,1.0,1.0,44.0
b'132',2.0,2.0,1.0,16.0
b'133',1.0,1.0,1.0,44.0
b'133',1.0,2.0,1.0,16.0
b'133',2.0,1.0,1.0,44.0
b'133',2.0,2.0,1.0,16.0
b'134',1.0,1.0,1.0,44.0
b'134',1.0,2.0,1.0,16.0
b'134',2.0,1.0,1.0,44.0
b'134',2.0,2.0,1.0,16.0
b'135',1.0,1.0,1.0,44.0
b'135',1.0,2.0,1.0,16.0
b'135',2.0,1.0,1.0,44.0
b'135',2.0,2.0,1.0,16.0
b'141',1.0,1.0,1.0,44.0
b'141',1.0,2.0,1.0,16.0
b'141',2.0,1.0,1.0,44.0
b'141',2.0,2.0,1.0,16.0
b'142',1.0,1.0,1.0,44.0
b'142',1.0,2.0,1.0,16.0
b'142',2.0,1.0,1.0,44.0
b'142',2.0,2.0,1.0,16.0
b'143',1.0,1.0,1.0,44.0
b'143',1.0,2.0,1.0,16.0
b'143',2.0,1.0,1.0,44.0
b'143',2.0,2.0,1.0,16.0
b'144',1.0,1.0,1.0,44.0
b'144',1.0,2.0,1.0,16.0
b'144',2.0,1.0,1.0,44.0
b'144',2.0,2.0,1.0,16.0
b'145',1.0,1.0,1.0,44.0
b'145',1.0,2.0,1.0,16.0
b'145',2.0,1.0,1.0,44.0
b'145',2.0,2.0,1.0,16.0
b'151',1.0,1.0,1.0,44.0
b'151',1.0,2.0,1.0,16.0
b'151',2.0,1.0,1.0,44.0
b'151',2.0,2.0,1.0,16.0
b'152',1.0,1.0,1.0,44.0
b'152',1.0,2.0,1.0,16.0
b'152',2.0,1.0,1.0,44.0
b'152',2.0,2.0,1.0,16.0
b'153',1.0,1.0,1.0,44.0
b'153',1.0,2.0,1.0,16.0
b'153',2.0,1.0,1.0,44.0
b'153',2.0,2.0,1.0,16.0
b'181',1.0,1.0,1.0,44.0
b'181',1.0,2.0,1.0,16.0
b'181',2.0,1.0,1.0,44.0
b'181',2.0,2.0,1.0,16.0
b'183',1.0,1.0,1.0,44.0
b'183',1.0,2.0,1.0,16.0
b'183',2.0,1.0,1.0,44.0
b'183',2.0,2.0,1.0,16.0
b'189',1.0,1.0,1.0,44.0
b'189',1.0,2.0,1.0,16.0
b'189',2.0,1.0,1.0,44.0
b'189',2.0,2.0,1.0,16.0
b'191',1.0,1.0,1.0,44.0
b'191',1.0,2.0,1.0,16.0
b'191',2.0,1.0,1.0,44.0
b'191',2.0,2.0,1.0,16.0
b'193',1.0,1.0,1.0,44.0
b'193',1.0,2.0,1.0,16.0
b'193',2.0,1.0,1.0,44.0
b'193',2.0,2.0,1.0,16.0
b'199',1.0,1.0,1.0,44.0
b'199',1.0,2.0,1.0,16.0
b'199',2.0,1.0,1.0,44.0
b'199',2.0,2.0,1.0,16.0
b'201',1.0,1.0,1.0,44.0
b'201',1.0,2.0,1.0,16.0
b'201',2.0,1.0,1.0,44.0
