SHIFT_PORT_GRP_PV,ARRIVEDEPART,WEEKDAY_END_PV,AM_PM_NIGHT_PV,NUMERATOR
111,1.0,1.0,1.0,44.0
111,1.0,2.0,1.0,16.0
111,2.0,1.0,1.0,44.0
111,2.0,2.0,1.0,16.0
113,1.0,1.0,1.0,44.0
113,1.0,2.0,1.0,16.0
113,2.0,1.0,1.0,44.0
113,2.0,2.0,1.0,16.0
119,1.0,1.0,1.0,44.0
119,1.0,2.0,1.0,16.0
119,2.0,1.0,1.0,44.0
119,2.0,2.0,1.0,16.0
121,1.0,1.0,1.0,44.0
121,1.0,2.0,1.0,16.0
121,2.0,1.0,1.0,44.0
121,2.0,2.0,1.0,16.0
123,1.0,1.0,1.0,44.0
123,1.0,2.0,1.0,16.0
123,2.0,1.0,1.0,44.0
123,2.0,2.0,1.0,16.0
131,1.0,1.0,1.0,44.0
131,1.0,2.0,1.0,16.0
131,2.0,1.0,1.0,44.0
131,2.0,2.0,1.0,16.0
132,1.0,1.0,1.0,44.0
132,1.0,2.0,1.0,16.0
132,2.0,1.0,1.0,44.0
132,2.0,2.0,1.0,16.0
133,1.0,1.0,1.0,44.0
133,1.0,2.0,1.0,16.0
133,2.0,1.0,1.0,44.0
133,2.0,2.0,1.0,16.0
134,1.0,1.0,1.0,44.0
134,1.0,2.0,1.0,16.0
134,2.0,1.0,1.0,44.0
134,2.0,2.0,1.0,16.0
135,1.0,1.0,1.0,44.0
135,1.0,2.0,1.0,16.0
135,2.0,1.0,1.0,44.0
135,2.0,2.0,1.0,16.0
141,1.0,1.0,1.0,44.0
141,1.0,2.0,1.0,16.0
141,2.0,1.0,1.0,44.0
141,2.0,2.0,1.0,16.0
142,1.0,1.0,1.0,44.0
142,1.0,2.0,1.0,16.0
142,2.0,1.0,1.0,44.0
142,2.0,2.0,1.0,16.0
143,1.0,1.0,1.0,44.0
143,1.0,2.0,1.0,16.0
143,2.0,1.0,1.0,44.0
143,2.0,2.0,1.0,16.0
144,1.0,1.0,1.0,44.0
144,1.0,2.0,1.0,16.0
144,2.0,1.0,1.0,44.0
144,2.0,2.0,1.0,16.0
145,1.0,1.0,1.0,44.0
145,1.0,2.0,1.0,16.0
145,2.0,1.0,1.0,44.0
145,2.0,2.0,1.0,16.0
151,1.0,1.0,1.0,44.0
151,1.0,2.0,1.0,16.0
151,2.0,1.0,1.0,44.0
151,2.0,2.0,1.0,16.0
152,1.0,1.0,1.0,44.0
152,1.0,2.0,1.0,16.0
152,2.0,1.0,1.0,44.0
152,2.0,2.0,1.0,16.0
153,1.0,1.0,1.0,44.0
153,1.0,2.0,1.0,16.0
153,2.0,1.0,1.0,44.0
153,2.0,2.0,1.0,16.0
181,1.0,1.0,1.0,44.0
181,1.0,2.0,1.0,16.0
181,2.0,1.0,1.0,44.0
181,2.0,2.0,1.0,16.0
183,1.0,1.0,1.0,44.0
183,1.0,2.0,1.0,16.0
183,2.0,1.0,1.0,44.0
183,2.0,2.0,1.0,16.0
189,1.0,1.0,1.0,44.0
189,1.0,2.0,1.0,16.0
189,2.0,1.0,1.0,44.0
189,2.0,2.0,1.0,16.0
191,1.0,1.0,1.0,44.0
191,1.0,2.0,1.0,16.0
191,2.0,1.0,1.0,44.0
