,SERIAL,SPEND,SPENDIMPREASON,FARE,FAREK
0,4.1001995407e+11,,,,
1,4.10019955012e+11,,,,
2,4.10019955029e+11,,,,
3,4.10019955034e+11,,,,
4,4.10029437029e+11,,,,
5,4.10031607011e+11,,,,
6,4.10039406055e+11,,,,
7,4.10039437065e+11,,,,
8,4.10039635017e+11,,,,
9,4.10039878048e+11,,,,
10,4.1004160717e+11,,,,
11,4.10049406125e+11,,,,
12,4.10049406155e+11,,,,
13,4.10049635146e+11,,,,
14,4.10059635109e+11,,,,
15,4.10059841097e+11,,,,
16,4.10059878141e+11,,,,
17,4.10059954014e+11,,,,
18,4.10100000007e+11,3150.0,,650.0,
19,4.10100000012e+11,,,474.0,7.0
20,4.10100000016e+11,0.0,,335.0,6.0
21,4.10100000041e+11,,,50.0,
22,4.10100000042e+11,,,90.0,
23,4.10100000044e+11,,,23.0,4.0
24,4.10100000052e+11,,,99.0,3.0
25,4.10100000054e+11,,,93.0,
26,4.10108777015e+11,,,123.0,4.0
27,4.10108777017e+11,,,57.0,4.0
28,4.10108777023e+11,210.0,,200.0,
29,4.10108777025e+11,,,79.0,6.0
30,4.10108777027e+11,,,267.0,6.0
31,4.1010877703e+11,,,57.0,4.0
32,4.10108777031e+11,,,77.0,4.0
33,4.10108777039e+11,226.0,,40.0,
34,4.10108777043e+11,,,83.0,5.0
35,4.10108777047e+11,,,99.0,1.0
36,4.10108801002e+11,,,123.0,4.0
37,4.10108801004e+11,,,194.0,5.0
38,4.10108801011e+11,,,,
39,4.10108801014e+11,,,123.0,4.0
40,4.1010880102e+11,400.0,,175.0,
41,4.10108801029e+11,,,228.0,5.0
42,4.10108801034e+11,,,40.0,5.0
43,4.10108801035e+11,,,,
44,4.1010880104e+11,,,72.0,2.0
45,4.10108801048e+11,88.0,,116.0,1.0
46,4.10108841001e+11,,,,
47,4.10108841005e+11,,,194.0,5.0
48,4.10108841008e+11,1900.0,,300.0,
49,4.10108841013e+11,,,123.0,4.0
50,4.10108841019e+11,,,271.0,6.0
51,4.10108841028e+11,,,267.0,6.0
52,4.10108841032e+11,,,59.0,4.0
53,4.10108841033e+11,,,40.0,5.0
54,4.10108841036e+11,250.0,,103.0,
55,4.10108841038e+11,,,84.0,3.0
56,4.10108841045e+11,,,84.0,3.0
57,4.10108856003e+11,,,47.0,5.0
58,4.10108856006e+11,350.0,,240.0,
59,4.10108856009e+11,,,335.0,6.0
60,4.1010885601e+11,,,,
61,4.10108856018e+11,,,,
62,4.10108856021e+11,,,123.0,4.0
63,4.10108856022e+11,,,92.0,6.0
64,4.10108856024e+11,,,47.0,5.0
65,4.10108856026e+11,,,267.0,6.0
66,4.10108856037e+11,348.0,,63.0,
67,4.10108856046e+11,,,42.0,3.0
68,4.1010885605e+11,1100.0,,64.0,
69,4.10108856051e+11,,,,
70,4.10108856053e+11,,,,
71,4.10110000014e+11,,,180.0,6.0
72,4.10110000016e+11,0.0,,151.0,5.0
73,4.10110000029e+11,,,84.0,3.0
74,4.10110000036e+11,167.0,,8.0,
75,4.1011000005e+11,220.0,,90.0,
76,4.10110000061e+11,,,,
77,4.10110000063e+11,,,,
78,4.10118777007e+11,,,123.0,4.0
79,4.1011877701e+11,,,60.0,5.0
80,4.10118777017e+11,450.0,,150.0,
81,4.1011877702e+11,,,271.0,6.0
82,4.10118777027e+11,426.0,,50.0,
83,4.10118777032e+11,375.0,,85.0,
84,4.10118777037e+11,,,211.0,6.0
85,4.10118777041e+11,3500.0,,300.0,
86,4.10118777044e+11,,,38.0,3.0
87,4.10118777047e+11,1100.0,,175.0,
88,4.10118777054e+11,,,26.0,3.0
89,4.10118777056e+11,,,43.0,4.0
90,4.10118777057e+11,,,80.0,4.0
91,4.10118777062e+11,,,228.0,5.0
92,4.10118801002e+11,,,327.0,6.0
93,4.10118801005e+11,,,268.0,6.0
94,4.10118801008e+11,900.0,,240.0,
95,4.10118801019e+11,,,267.0,6.0
96,4.10118801022e+11,,,123.0,4.0
97,4.10118801024e+11,,,79.0,6.0
98,4.1011880103e+11,,,72.0,2.0
99,4.10118801034e+11,,,,
100,4.10118801035e+11,250.0,,45.0,
101,4.10118801048e+11,,,84.0,3.0
102,4.10118801053e+11,,,43.0,4.0
103,4.10118840001e+11,,,327.0,6.0
104,4.10118840004e+11,,,327.0,6.0
105,4.10118840011e+11,625.0,,185.0,
106,4.10118840013e+11,,,43.0,4.0
107,4.10118840015e+11,,,115.0,5.0
108,4.10118840018e+11,,,57.0,4.0
109,4.10118840021e+11,,,211.0,6.0
110,4.10118840026e+11,,,92.0,6.0
111,4.10118840028e+11,,,57.0,4.0
112,4.10118840038e+11,150.0,,474.0,7.0
113,4.1011884004e+11,200.0,,425.0,
114,4.10118840043e+11,300.0,,350.0,
115,4.10118840046e+11,,,84.0,3.0
116,4.10118840049e+11,200.0,,90.0,
117,4.10118840052e+11,300.0,,43.0,4.0
118,4.10118840055e+11,,,67.0,3.0
119,4.10118840058e+11,,,84.0,3.0
120,4.10118856003e+11,,,268.0,6.0
121,4.10118856006e+11,,,47.0,5.0
122,4.10118856009e+11,,,60.0,5.0
123,4.10118856012e+11,111.0,,200.0,
124,4.10118856023e+11,500.0,,299.0,
125,4.10118856025e+11,,,228.0,5.0
126,4.10118856031e+11,,,,
127,4.10118856033e+11,250.0,,90.0,
128,4.10118856039e+11,,,284.0,6.0
129,4.10118856042e+11,,,,
130,4.10118856045e+11,,,373.0,5.0
131,4.10118856059e+11,,,84.0,3.0
132,4.1011885606e+11,,,147.0,7.0
133,4.10138331001e+11,,,116.0,1.0
134,4.10138331005e+11,,,84.0,2.0
135,4.10138331008e+11,,,84.0,2.0
136,4.10138331012e+11,,,113.0,6.0
137,4.10138331013e+11,,,121.0,6.0
138,4.10138331016e+11,,,99.0,3.0
139,4.10138331019e+11,,,73.0,4.0
140,4.10138331024e+11,,,73.0,4.0
141,4.10138331026e+11,,,47.0,5.0
142,4.10138331029e+11,,,,
143,4.10138331031e+11,,,84.0,2.0
144,4.10138331038e+11,,,,
145,4.10138331039e+11,,,,
146,4.10138331041e+11,,,79.0,6.0
147,4.10138331044e+11,,,335.0,6.0
148,4.10138331046e+11,,,373.0,5.0
149,4.10138331049e+11,,,113.0,6.0
150,4.10138331052e+11,,,99.0,3.0
151,4.10138331057e+11,,,,
152,4.1013833106e+11,,,,
153,4.10138331061e+11,,,43.0,4.0
154,4.10138331064e+11,,,84.0,2.0
155,4.10138777003e+11,,,40.0,5.0
156,4.10138777004e+11,,,123.0,4.0
157,4.10138777007e+11,,,68.0,4.0
158,4.10138777011e+11,,,68.0,4.0
159,4.10138777014e+11,,,84.0,2.0
160,4.10138777016e+11,,,99.0,3.0
161,4.10138777019e+11,,,80.0,4.0
162,4.10138777024e+11,,,27.0,4.0
163,4.10138777026e+11,,,87.0,4.0
164,4.10138777028e+11,,,42.0,4.0
165,4.10138777031e+11,,,267.0,6.0
166,4.10138777034e+11,,,40.0,5.0
167,4.10138777039e+11,,,267.0,6.0
168,4.10138777042e+11,,,60.0,5.0
169,4.10138777043e+11,,,38.0,4.0
170,4.10138777049e+11,,,47.0,5.0
171,4.10138777053e+11,,,83.0,5.0
172,4.10138777055e+11,,,267.0,6.0
173,4.10138777058e+11,,,228.0,5.0
174,4.10138777062e+11,,,97.0,1.0
175,4.10138777064e+11,,,85.0,5.0
176,4.10138777067e+11,,,361.0,6.0
177,4.10138777071e+11,,,113.0,6.0
178,4.10138777074e+11,,,113.0,6.0
179,4.10138777077e+11,,,84.0,2.0
180,4.10138777079e+11,,,79.0,6.0
181,4.10138777083e+11,,,84.0,2.0
182,4.10138777086e+11,,,121.0,6.0
183,4.1013877709e+11,,,85.0,5.0
184,4.10138777091e+11,,,99.0,3.0
185,4.10138801001e+11,,,84.0,2.0
186,4.10138801004e+11,,,84.0,2.0
187,4.10138801007e+11,,,,
188,4.1013880101e+11,,,113.0,6.0
189,4.10138801017e+11,615.0,,135.0,5.0
190,4.10138801019e+11,,,27.0,4.0
191,4.10138801022e+11,,,73.0,4.0
192,4.10138801025e+11,,,80.0,4.0
193,4.10138801029e+11,,,267.0,6.0
194,4.10138801031e+11,,,27.0,4.0
195,4.10138801034e+11,,,42.0,4.0
196,4.10138801038e+11,,,335.0,6.0
197,4.1013880104e+11,,,373.0,5.0
198,4.10138801044e+11,,,228.0,5.0
199,4.10138801046e+11,,,228.0,5.0
200,4.1013880105e+11,,,121.0,6.0
201,4.10138801053e+11,,,84.0,2.0
202,4.10138801055e+11,575.0,,135.0,5.0
203,4.10138801058e+11,65.0,,84.0,2.0
204,4.10138801062e+11,,,84.0,2.0
205,4.10138801065e+11,,,99.0,3.0
206,4.10138856001e+11,,,99.0,3.0
207,4.10138856005e+11,,,113.0,6.0
208,4.10138856007e+11,,,113.0,6.0
209,4.1013885601e+11,,,68.0,4.0
210,4.10138856015e+11,,,84.0,2.0
211,4.10138856016e+11,,,80.0,4.0
212,4.10138856021e+11,155.0,,42.0,4.0
213,4.10138856024e+11,,,59.0,4.0
214,4.10138856027e+11,,,45.0,3.0
215,4.10138856033e+11,615.0,,373.0,5.0
216,4.10138856035e+11,,,267.0,6.0
217,4.10138856037e+11,,,267.0,6.0
218,4.1013885604e+11,,,97.0,1.0
219,4.10138856043e+11,,,128.0,5.0
220,4.10138856045e+11,,,,
221,4.10138856046e+11,,,267.0,6.0
222,4.1013885605e+11,,,,
223,4.10138856054e+11,,,113.0,6.0
224,4.10138856055e+11,,,103.0,4.0
225,4.10138856059e+11,,,188.0,3.0
226,4.10138856063e+11,1815.0,,211.0,6.0
227,4.10148310002e+11,,,103.0,4.0
228,4.10148310005e+11,,,84.0,2.0
229,4.1014831001e+11,,,188.0,3.0
230,4.10148310015e+11,,,103.0,4.0
231,4.10148310018e+11,,,103.0,4.0
232,4.10148310021e+11,,,188.0,3.0
233,4.10148310022e+11,,,103.0,4.0
234,4.10148310025e+11,,,83.0,5.0
235,4.10148310028e+11,,,38.0,5.0
