,SERIAL,SHIFT_WT
58773,11002011,100.0
58774,11002012,100.0
58908,11004002,160.0
58775,11005001,100.0
58776,11005008,100.0
1035,11020001,200.0
1036,11020002,200.0
1037,11020003,200.0
1038,11020004,200.0
1039,11020005,200.0
1040,11020006,200.0
1041,11020007,200.0
1042,11020008,200.0
1043,11020009,200.0
1044,11020010,200.0
1045,11020011,200.0
1046,11020012,200.0
1047,11020013,200.0
1048,11020014,200.0
1049,11020015,200.0
1050,11020016,200.0
1051,11020017,200.0
1052,11020018,200.0
1053,11020019,200.0
1054,11020020,200.0
1055,11020021,200.0
1056,11020022,200.0
1057,11020023,200.0
1058,11020024,200.0
1059,11020025,200.0
1060,11020026,200.0
1061,11020027,200.0
1062,11020028,200.0
1063,11020029,200.0
1064,11020030,200.0
1065,11020031,200.0
1066,11020032,200.0
1067,11020033,200.0
1068,11020034,200.0
1069,11020035,200.0
1070,11020036,200.0
1071,11020037,200.0
1072,11020038,200.0
1073,11020039,200.0
1074,11020040,200.0
1075,11020041,200.0
1076,11020042,200.0
1077,11020043,200.0
1078,11020044,200.0
1079,11020045,200.0
1080,11020046,200.0
1081,11020047,200.0
1082,11020048,200.0
1083,11020049,200.0
1084,11020050,200.0
1085,11020051,200.0
1086,11020052,200.0
1087,11020053,200.0
1088,11020054,200.0
1089,11020055,200.0
1090,11020057,200.0
1091,11020058,200.0
1092,11020059,200.0
1093,11020060,200.0
1094,11020061,200.0
1095,11020062,200.0
1096,11020063,200.0
1097,11020064,200.0
1098,11020065,200.0
1099,11020066,200.0
1100,11020067,200.0
1101,11020068,200.0
1102,11020069,200.0
1103,11020070,200.0
1104,11020071,200.0
1105,11020072,200.0
1106,11020073,200.0
1107,11020074,200.0
1108,11020075,200.0
1109,11020076,200.0
1110,11020077,200.0
1111,11020078,200.0
1112,11020079,200.0
1113,11020080,200.0
1114,11020081,200.0
1115,11020082,200.0
1116,11020083,200.0
1117,11020084,200.0
1118,11020085,200.0
1119,11020086,200.0
1120,11020087,200.0
1121,11020088,200.0
1122,11020089,200.0
1123,11020090,200.0
1124,11020091,200.0
1125,11020092,200.0
1126,11020093,200.0
