,SHIFT_PORT_GRP_PV,ARRIVEDEPART,WEEKDAY_END_PV,AM_PM_NIGHT_PV,MIGSI,POSS_SHIFT_CROSS,SAMP_SHIFT_CROSS,MIN_SH_WT,MEAN_SH_WT,MAX_SH_WT,COUNT_RESPS,SUM_SH_WT
191,111,1,1.0,1.0,,130.0,0.0,,,,,
192,111,1,2.0,1.0,,50.0,0.0,,,,,
193,111,2,1.0,1.0,,130.0,0.0,,,,,
194,111,2,2.0,1.0,,50.0,0.0,,,,,
195,113,1,1.0,1.0,,130.0,0.0,,,,,
196,113,1,2.0,1.0,,50.0,0.0,,,,,
197,113,2,1.0,1.0,,130.0,0.0,,,,,
198,113,2,2.0,1.0,,50.0,0.0,,,,,
0,119,1,1.0,1.0,10.0,130.0,2.0,650.0,650.0,650.0,70.0,45500.0
199,119,1,2.0,1.0,,50.0,0.0,,,,,
0,119,1,,,,,2.0,650.0,650.0,,70.0,45500.0
200,119,2,1.0,1.0,,130.0,0.0,,,,,
201,119,2,2.0,1.0,,50.0,0.0,,,,,
1,121,1,1.0,1.0,20.0,130.0,7.0,360.0,360.0,360.0,881.0,317160.0
2,121,1,2.0,1.0,20.0,50.0,1.0,1000.0,1000.0,1000.0,84.0,84000.0
1,121,1,,,,,8.0,360.0,1000.0,,965.0,401160.0
3,121,2,1.0,1.0,20.0,130.0,13.0,200.0,200.0,200.0,1568.0,313600.0
4,121,2,2.0,1.0,20.0,50.0,6.0,160.0,160.0,160.0,750.0,120000.0
2,121,2,,,,,19.0,160.0,200.0,,2318.0,433600.0
202,123,1,1.0,1.0,,130.0,0.0,,,,,
203,123,1,2.0,1.0,,50.0,0.0,,,,,
204,123,2,1.0,1.0,,130.0,0.0,,,,,
205,123,2,2.0,1.0,,50.0,0.0,,,,,
5,131,1,1.0,1.0,10.0,130.0,28.0,40.0,40.0,40.0,1488.0,59520.0
6,131,1,2.0,1.0,10.0,50.0,10.0,50.0,50.0,50.0,550.0,27500.0
3,131,1,,,,,38.0,40.0,50.0,,2038.0,87020.0
7,131,2,1.0,1.0,20.0,130.0,33.0,60.0,60.0,60.0,4000.0,240000.0
8,131,2,2.0,1.0,20.0,50.0,17.0,40.0,40.0,40.0,2108.0,84320.0
4,131,2,,,,,50.0,40.0,60.0,,6108.0,324320.0
9,132,1,1.0,1.0,5.0,130.0,17.0,35.0,35.0,35.0,141.0,4935.0
10,132,1,1.0,1.0,10.0,130.0,17.0,70.0,70.0,70.0,855.0,59850.0
11,132,1,2.0,1.0,10.0,50.0,6.0,80.0,80.0,80.0,300.0,24000.0
5,132,1,,,,,23.0,35.0,80.0,,1296.0,88785.0
206,132,2,1.0,1.0,,130.0,0.0,,,,,
207,132,2,2.0,1.0,,50.0,0.0,,,,,
208,133,1,1.0,1.0,,130.0,0.0,,,,,
209,133,1,2.0,1.0,,50.0,0.0,,,,,
210,133,2,1.0,1.0,,130.0,0.0,,,,,
211,133,2,2.0,1.0,,50.0,0.0,,,,,
212,134,1,1.0,1.0,,130.0,0.0,,,,,
213,134,1,2.0,1.0,,50.0,0.0,,,,,
