Year,Month,Datasource,Portroute,Arrivedepart,Traffictotal,Periodstart,Periodend,AM_PM_night,Haul
2017,1,Air,111,1,0,,,,S
2017,1,Air,121,1,237037,,,,S
2017,1,Air,131,1,105209,,,,S
2017,1,Air,141,1,102141,,,,S
2017,1,Air,151,1,309964,,,,S
2017,1,Air,181,1,361530,,,,S
2017,1,Air,191,1,425583,,,,S
2017,1,Air,201,1,622028,,,,S
2017,1,Air,211,1,208543,,,,S
2017,1,Air,221,1,55379,,,,S
2017,1,Air,231,1,155394,,,,S
2017,1,Air,241,1,402562,,,,S
2017,1,Air,311,1,248664,,,,S
2017,1,Air,321,1,0,,,,S
2017,1,Air,331,1,29480,,,,S
2017,1,Air,341,1,46778,,,,S
2017,1,Air,351,1,175194,,,,S
2017,1,Air,361,1,20434,,,,S
2017,1,Air,371,1,88902,,,,S
2017,1,Air,381,1,178876,,,,S
2017,1,Air,391,1,105135,,,,S
2017,1,Air,401,1,65591,,,,S
2017,1,Air,411,1,101533,,,,S
2017,1,Air,421,1,109939,,,,S
2017,1,Air,441,1,79336,,,,S
2017,1,Air,451,1,0,,,,S
2017,1,Air,461,1,0,,,,S
2017,1,Air,471,1,40495,,,,S
2017,1,Air,481,1,20618,,,,S
2017,1,Air,250,1,51262,,,,S
2017,1,Air,350,1,15332,,,,S
2017,1,Air,260,1,62399,,,,S
2017,1,Air,360,1,14827,,,,S
2017,1,Air,111,1,0,,,,L
2017,1,Air,121,1,205571,,,,L
2017,1,Air,131,1,405181,,,,L
2017,1,Air,141,1,268002,,,,L
2017,1,Air,151,1,286650,,,,L
2017,1,Air,181,1,103404,,,,L
2017,1,Air,191,1,145053,,,,L
2017,1,Air,201,1,8564,,,,L
2017,1,Air,211,1,82073,,,,L
2017,1,Air,221,1,79955,,,,L
2017,1,Air,231,1,7900,,,,L
2017,1,Air,241,1,7923,,,,L
2017,1,Air,311,1,73636,,,,L
2017,1,Air,321,1,0,,,,L
2017,1,Air,331,1,0,,,,L
2017,1,Air,341,1,1168,,,,L
2017,1,Air,351,1,2079,,,,L
2017,1,Air,361,1,859,,,,L
2017,1,Air,371,1,295,,,,L
2017,1,Air,381,1,16363,,,,L
2017,1,Air,391,1,26718,,,,L
2017,1,Air,401,1,378,,,,L
2017,1,Air,411,1,1630,,,,L
2017,1,Air,421,1,435,,,,L
2017,1,Air,441,1,11205,,,,L
2017,1,Air,451,1,0,,,,L
2017,1,Air,461,1,0,,,,L
2017,1,Air,471,1,299,,,,L
2017,1,Air,481,1,0,,,,L
2017,1,Air,111,1,0,,,,E
2017,1,Air,121,1,62818,,,,E
2017,1,Air,131,1,0,,,,E
