YEAR,MONTH,DATASOURCE,PORTROUTE,WEEKDAY,ARRIVEDEPART,AM_PM_NIGHT,SAMPINTERVAL,MIGTOTAL,ORDTOTAL
2017,1,Non Response,111,1,1,1,0,0,0
2017,1,Non Response,111,2,1,1,0,0,0
2017,1,Non Response,111,1,1,2,0,0,0
2017,1,Non Response,111,2,1,2,0,0,0
2017,1,Non Response,119,1,1,1,0,0,0
2017,1,Non Response,119,2,1,1,0,0,0
2017,1,Non Response,119,1,1,2,0,0,0
2017,1,Non Response,119,2,1,2,0,0,0
2017,1,Non Response,121,1,1,1,0,9,0
2017,1,Non Response,121,2,1,1,0,0,0
2017,1,Non Response,121,1,1,2,0,66,0
2017,1,Non Response,121,2,1,2,0,144,0
2017,1,Non Response,131,1,1,1,0,212,0
2017,1,Non Response,131,2,1,1,0,0,0
2017,1,Non Response,131,1,1,2,0,154,0
2017,1,Non Response,131,2,1,2,0,66,0
2017,1,Non Response,132,1,1,1,0,110,0
2017,1,Non Response,132,2,1,1,0,0,0
2017,1,Non Response,132,1,1,2,0,191,0
2017,1,Non Response,132,2,1,2,0,175,0
2017,1,Non Response,133,1,1,2,0,0,0
2017,1,Non Response,133,2,1,1,0,0,0
2017,1,Non Response,134,1,1,1,0,0,0
2017,1,Non Response,134,2,1,1,0,0,0
2017,1,Non Response,134,1,1,2,0,0,0
2017,1,Non Response,141,1,1,1,0,151,0
2017,1,Non Response,141,2,1,1,0,0,0
2017,1,Non Response,141,1,1,2,0,102,0
2017,1,Non Response,141,2,1,2,0,0,0
2017,1,Non Response,142,1,1,1,0,98,0
2017,1,Non Response,142,2,1,1,0,80,0
2017,1,Non Response,142,1,1,2,0,90,0
2017,1,Non Response,142,2,1,2,0,63,0
2017,1,Non Response,144,1,1,1,0,0,0
2017,1,Non Response,144,1,1,2,0,0,0
2017,1,Non Response,150,1,1,1,0,0,0
2017,1,Non Response,150,2,1,1,0,0,0
2017,1,Non Response,150,1,1,2,0,0,0
2017,1,Non Response,150,2,1,2,0,0,0
2017,1,Non Response,151,1,1,1,0,117,0
2017,1,Non Response,151,2,1,1,0,1,0
2017,1,Non Response,151,1,1,2,0,35,0
