Year,Month,Datasource,Portroute,Arrivedepart,Traffictotal,Periodstart,Periodend,AM_PM_night,Haul
2017,1,Tunnel,812,1,83912,,,,
2017,1,Tunnel,811,1,250902,,,,
2017,1,Tunnel,911,1,351971,,,,
2017,1,Tunnel,812,2,74665,,,,
2017,1,Tunnel,811,2,204346,,,,
2017,1,Tunnel,911,2,342964,,,,
2017,2,Tunnel,812,1,81323,,,,
2017,2,Tunnel,811,1,275772,,,,
2017,2,Tunnel,911,1,353115,,,,
2017,2,Tunnel,812,2,73495,,,,
2017,2,Tunnel,811,2,276481,,,,
2017,2,Tunnel,911,2,364481,,,,
2017,3,Tunnel,812,1,95059,,,,
2017,3,Tunnel,811,1,266052,,,,
2017,3,Tunnel,911,1,374622,,,,
2017,3,Tunnel,812,2,88299,,,,
2017,3,Tunnel,811,2,296517,,,,
2017,3,Tunnel,911,2,410608,,,,
