COLUMN_NO,COLUMN_DESC,COLUMN_TYPE,COLUMN_LENGTH
1,Shiftno,number,4
2,Questno,number,4
3,Serial,number,6
4,Version,string,3
5,Offvers,string,1
6,IntType,number,3
7,ShiftType,number,3
8,CarType16,number,3
9,Portroute,number,4
10,PortRoute2,number,4
11,OldPortroute,string,2
12,Baseport,string,30
13,PRouteLatDeg,number,3
14,PRouteLatMin,number,3
15,PRouteLatSec,number,3
16,PRouteLatNS,string,1
17,PRouteLonDeg,number,3
18,PRouteLonMin,number,3
19,PRouteLonSec,number,3
20,PRouteLonEW,string,1
21,Linecode,number,6
22,DVLineCode,number,6
23,OldLinecode,string,5
24,DVOldLineCode,string,5
25,LineName,string,25
26,DVLineName,string,35
27,DPortCode,number,6
28,DVPortCode,number,6
29,OldDPortCode,string,5
30,DVOldPortCode,string,5
31,DPortName,string,35
32,DVPortName,string,40
33,StationQuery16,string,1
34,ChangeEnd16,number,3
35,DChangCode16,number,6
36,OldChangCode16,string,5
37,DChangName16,string,35
38,ChangeQuery16,string,1
39,ThreeFlt,string,3
40,FlightPrefix,string,3
41,Details,number,3
42,FlightNumber,number,4
43,AirLineCode,number,6
44,OldAirLineCode,string,5
45,AirLineQuery,string,1
46,AirLineName,string,35
47,AirLineNum,string,1
48,ThreePort,string,3
49,AirPortCode,number,6
50,OldAirPortCode,string,5
51,AirPortQuery,string,1
52,AirPortName,string,43
53,APortLatDeg,number,3
54,APortLatMin,number,3
55,APortLatSec,number,3
56,APortLatNS,string,1
57,APortLonDeg,number,4
58,APortLonMin,number,3
59,APortLonSec,number,3
60,APortLonEW,string,1
61,AirPortPD1,string,1
62,AirPortNum,string,1
63,HaulAirKey,number,3
64,BabyFareA,number,8
65,ChildFareA,number,8
66,ChangeEnd,number,3
67,ThreeChange,string,3
68,ChangeCode,number,6
69,OldChangeCode,string,5
70,ChangeQuery,string,1
71,ChangeName,string,43
72,CPortLatDeg,number,3
73,CPortLatMin,number,3
74,CPortLatSec,number,3
75,CPortLatNS,string,1
76,CPortLonDeg,number,4
77,CPortLonMin,number,3
78,CPortLonSec,number,3
79,CPortLonEW,string,1
80,ChPortPD1,string,1
81,ChangeNum,string,1
82,BabyFareC,number,8
83,ChildFareC,number,8
84,FlightType,number,3
85,Mayfly3,string,3
86,Mayfly,number,6
87,OldMayfly,string,5
88,MayflyQuery,string,1
89,MayflyName,string,43
90,MayflyNum,string,1
91,ArriveDepart,number,3
92,SampInterval,number,3
93,SubSample,number,3
94,TandTSI,number,8
95,MigSI,number,8
96,AM_PM_Night,number,3
97,IntDate,string,8
98,Dateqtr,number,3
99,DayType,number,3
100,Month,number,3
101,Quarter,number,3
102,Year,number,4
103,Shuttle,number,3
104,CrossShut,string,1
105,Vehicle,number,3
106,NumInVehicle,number,3
107,Respnse,number,3
108,OldResp,number,3
109,LangQuest,number,3
110,WhatLang,number,3
111,Mobils,number,3
112,Interv,number,4
113,Keyer,number,4
114,SelectionTime,number,4
115,TimeCheck,string,1
116,threeNat,string,18
117,Natnum,string,2
118,OldNation,string,4
119,NationName,string,33
120,NationalityA,string,2
121,Passport,string,3
122,NatGroup1,string,6
123,NatGroup2,number,3
124,threeRes,string,19
125,ResNum,string,2
126,OldRes,string,4
127,OldRescode,string,4
128,ResidenceName,string,33
129,ResidenceA,string,2
130,ResGroup1,string,6
131,ResGroup2,number,3
132,ResPubCode,number,4
133,Flow,number,3
134,MainContra,number,3
135,UKForeign,number,3
136,UKTownCode,number,6
137,UKTownQuery,string,1
138,UKTownName,string,30
139,UKCountyName,string,22
140,UKTownUALA,number,4
141,UKTownUALAName,string,32
142,UKTownNUTS4,string,7
143,UKTownNUTS4Name,string,20
144,NUTS1,string,3
145,Region,number,3
146,RegName,string,24
147,IPSCode,number,8
148,VBCode,number,8
149,PlaceCheck,string,1
150,CheckA,number,3
151,OldState,string,4
152,Nationality,number,4
153,Residence,number,4
154,ResidenceCode,number,6
155,StateCode,number,6
156,StateName,string,20
157,StateQuery,string,50
158,StudyCheck,number,3
159,WhereLive,number,3
160,SStuPurp,number,3
161,OldRFVA,number,3
162,StudentKey,number,3
163,LStuDate,string,8
164,LStuPurp,number,3
165,OldRFVB,number,3
166,LStuGrp,number,3
167,LStuExp,number,6
168,LStuFees,number,6
169,LStuBefAf,number,6
170,LStuResp,number,3
171,LOtherLong,number,3
172,LOtherFees,number,6
173,IntendLOS,number,3
174,MediumStay,number,3
175,LongStay,number,3
176,MightWork,number,3
177,StayWork,number,3
178,LOSKey,number,3
179,LOSAsked,number,3
180,IntendLOS15,number,3
181,EMin15,number,3
182,JobTyp,string,1
183,MigPurp,number,3
184,AccompPurp13,number,3
185,AccompUKCitizen16,number,3
186,ThreeNatAccomp16,string,7
187,Natnum16,string,1
188,OldNation16,string,4
189,NationName16,string,30
190,NationalityA16,string,2
191,Nationality16,number,4
192,Passport16,string,3
193,NatGroup116,string,5
194,NatGroup216,number,3
195,AccompRelationship16,number,3
196,InstitutionName14,string,100
