,COLUMN_NO,VERSION_ID,COLUMN_DESC,SERIAL_NO,COLUMN_VALUE
0,640,16,ChildFare,11020001,1
1,1,16,Shiftno,11020001,1020
2,632,16,HaulKey,11020001,2
3,630,16,Age,11020001,2
4,629,16,Sex,11020001,1
5,391,16,Nights1,11020001,2
6,379,16,TownCode1,11020001,70700
7,368,16,Transfer,11020001,0
8,367,16,BefAf,11020001,60
9,365,16,DVExpend,11020001,600
10,364,16,Expenditure,11020001,600
11,350,16,Package,11020001,3
12,348,16,PackageHol,11020001,3
13,329,16,DVPersons,11020001,1
14,328,16,Persons,11020001,1
15,313,16,Purpose,11020001,15
16,301,16,NumDays,11020001,3
17,300,16,NumNights,11020001,2
18,299,16,VisitBegan,11020001,'01012017'
19,153,16,Residence,11020001,276
20,152,16,Nationality,11020001,276
21,135,16,UKForeign,11020001,2
22,134,16,MainContra,11020001,1
23,133,16,Flow,11020001,1
24,119,16,NationName,11020001,'Germany'
25,107,16,Respnse,11020001,1
26,101,16,Quarter,11020001,1
27,99,16,DayType,11020001,1
28,97,16,IntDate,11020001,'03012017'
29,96,16,AM_PM_Night,11020001,2
30,95,16,MigSI,11020001,20
31,94,16,TandTSI,11020001,50
32,91,16,ArriveDepart,11020001,2
33,60,16,APortLonEW,11020001,'E'
34,58,16,APortLonMin,11020001,34
35,57,16,APortLonDeg,11020001,8
36,56,16,APortLatNS,11020001,'N'
37,55,16,APortLatSec,11020001,0
38,54,16,APortLatMin,11020001,2
39,53,16,APortLatDeg,11020001,50
40,28,16,DVPortCode,11020001,276071
41,22,16,DVLineCode,11020001,27608
42,20,16,PRouteLonEW,11020001,'W'
43,19,16,PRouteLonSec,11020001,8
44,18,16,PRouteLonMin,11020001,27
45,17,16,PRouteLonDeg,11020001,0
46,16,16,PRouteLatNS,11020001,'N'
47,15,16,PRouteLatSec,11020001,11
48,14,16,PRouteLatMin,11020001,28
49,13,16,PRouteLatDeg,11020001,51
50,9,16,Portroute,11020001,121
51,639,16,BabyFare,11020001,0.25
52,640,16,ChildFare,11020002,0.8
53,1,16,Shiftno,11020002,1020
54,632,16,HaulKey,11020002,2
55,308,16,CountryVisit,11020002,450
56,173,16,IntendLOS,11020002,1
57,178,16,LOSKey,11020002,0
58,153,16,Residence,11020002,926
59,152,16,Nationality,11020002,926
60,135,16,UKForeign,11020002,1
61,134,16,MainContra,11020002,2
62,133,16,Flow,11020002,2
63,119,16,NationName,11020002,'UK  / United Kingdom Q1'
64,107,16,Respnse,11020002,1
65,101,16,Quarter,11020002,1
66,99,16,DayType,11020002,1
67,97,16,IntDate,11020002,'03012017'
68,96,16,AM_PM_Night,11020002,2
69,95,16,MigSI,11020002,20
70,94,16,TandTSI,11020002,50
71,91,16,ArriveDepart,11020002,2
72,76,16,CPortLonDeg,11020002,49
73,77,16,CPortLonMin,11020002,15
74,79,16,CPortLonEW,11020002,'E'
75,74,16,CPortLatSec,11020002,0
76,75,16,CPortLatNS,11020002,'S'
77,72,16,CPortLatDeg,11020002,12
78,73,16,CPortLatMin,11020002,15
79,68,16,ChangeCode,11020002,450019
80,60,16,APortLonEW,11020002,'E'
81,58,16,APortLonMin,11020002,49
82,57,16,APortLonDeg,11020002,28
83,56,16,APortLatNS,11020002,'N'
84,55,16,APortLatSec,11020002,26
85,54,16,APortLatMin,11020002,58
86,53,16,APortLatDeg,11020002,40
87,28,16,DVPortCode,11020002,792051
88,22,16,DVLineCode,11020002,79201
89,20,16,PRouteLonEW,11020002,'W'
90,19,16,PRouteLonSec,11020002,8
91,18,16,PRouteLonMin,11020002,27
92,17,16,PRouteLonDeg,11020002,0
93,16,16,PRouteLatNS,11020002,'N'
94,15,16,PRouteLatSec,11020002,11
95,14,16,PRouteLatMin,11020002,28
96,13,16,PRouteLatDeg,11020002,51
97,9,16,Portroute,11020002,121
98,639,16,BabyFare,11020002,0.25
99,640,16,ChildFare,11020003,1
100,1,16,Shiftno,11020003,1020
101,632,16,HaulKey,11020003,2
102,630,16,Age,11020003,2
103,629,16,Sex,11020003,2
104,391,16,Nights1,11020003,5
105,369,16,ExpendCode,11020003,'£'
106,379,16,TownCode1,11020003,70700
107,368,16,Transfer,11020003,0
108,367,16,BefAf,11020003,1500
109,365,16,DVExpend,11020003,2500
110,364,16,Expenditure,11020003,2500
111,350,16,Package,11020003,3
112,348,16,PackageHol,11020003,3
113,329,16,DVPersons,11020003,4
114,328,16,Persons,11020003,4
115,313,16,Purpose,11020003,10
116,301,16,NumDays,11020003,6
117,300,16,NumNights,11020003,5
118,299,16,VisitBegan,11020003,'29122016'
119,153,16,Residence,11020003,300
120,152,16,Nationality,11020003,300
121,135,16,UKForeign,11020003,2
122,134,16,MainContra,11020003,1
123,133,16,Flow,11020003,1
124,119,16,NationName,11020003,'GCE /Greece/Crete/Rhodes'
125,107,16,Respnse,11020003,1
126,101,16,Quarter,11020003,1
127,99,16,DayType,11020003,1
128,97,16,IntDate,11020003,'03012017'
129,96,16,AM_PM_Night,11020003,2
130,95,16,MigSI,11020003,20
131,94,16,TandTSI,11020003,50
132,91,16,ArriveDepart,11020003,2
133,60,16,APortLonEW,11020003,'E'
134,58,16,APortLonMin,11020003,43
135,57,16,APortLonDeg,11020003,23
136,56,16,APortLatNS,11020003,'N'
137,55,16,APortLatSec,11020003,45
138,54,16,APortLatMin,11020003,53
139,53,16,APortLatDeg,11020003,37
140,28,16,DVPortCode,11020003,300011
141,22,16,DVLineCode,11020003,30099
142,20,16,PRouteLonEW,11020003,'W'
143,19,16,PRouteLonSec,11020003,8
144,18,16,PRouteLonMin,11020003,27
145,17,16,PRouteLonDeg,11020003,0
146,16,16,PRouteLatNS,11020003,'N'
147,15,16,PRouteLatSec,11020003,11
148,14,16,PRouteLatMin,11020003,28
149,13,16,PRouteLatDeg,11020003,51
150,9,16,Portroute,11020003,121
151,639,16,BabyFare,11020003,0.25
152,640,16,ChildFare,11020004,1
153,1,16,Shiftno,11020004,1020
154,632,16,HaulKey,11020004,2
155,630,16,Age,11020004,5
156,629,16,Sex,11020004,1
157,391,16,Nights1,11020004,12
158,369,16,ExpendCode,11020004,'0'
159,379,16,TownCode1,11020004,2804
160,368,16,Transfer,11020004,0
161,367,16,BefAf,11020004,0
162,365,16,DVExpend,11020004,0
163,364,16,Expenditure,11020004,0
164,350,16,Package,11020004,3
165,348,16,PackageHol,11020004,3
166,329,16,DVPersons,11020004,1
167,328,16,Persons,11020004,1
168,313,16,Purpose,11020004,11
169,301,16,NumDays,11020004,13
170,300,16,NumNights,11020004,12
171,299,16,VisitBegan,11020004,'22122016'
172,153,16,Residence,11020004,276
173,152,16,Nationality,11020004,926
174,135,16,UKForeign,11020004,2
175,134,16,MainContra,11020004,1
176,133,16,Flow,11020004,1
177,119,16,NationName,11020004,'UK  / United Kingdom Q1'
178,107,16,Respnse,11020004,1
179,101,16,Quarter,11020004,1
180,99,16,DayType,11020004,1
181,97,16,IntDate,11020004,'03012017'
182,96,16,AM_PM_Night,11020004,2
183,95,16,MigSI,11020004,20
184,94,16,TandTSI,11020004,50
185,91,16,ArriveDepart,11020004,2
186,60,16,APortLonEW,11020004,'E'
187,58,16,APortLonMin,11020004,9
188,57,16,APortLonDeg,11020004,7
189,56,16,APortLatNS,11020004,'N'
190,55,16,APortLatSec,11020004,0
191,54,16,APortLatMin,11020004,52
192,53,16,APortLatDeg,11020004,50
193,28,16,DVPortCode,11020004,276101
194,22,16,DVLineCode,11020004,27611
195,20,16,PRouteLonEW,11020004,'W'
196,19,16,PRouteLonSec,11020004,8
197,18,16,PRouteLonMin,11020004,27
198,17,16,PRouteLonDeg,11020004,0
199,16,16,PRouteLatNS,11020004,'N'
200,15,16,PRouteLatSec,11020004,11
201,14,16,PRouteLatMin,11020004,28
202,13,16,PRouteLatDeg,11020004,51
203,9,16,Portroute,11020004,121
204,639,16,BabyFare,11020004,0.25
205,640,16,ChildFare,11020005,1
206,1,16,Shiftno,11020005,1020
207,632,16,HaulKey,11020005,2
208,630,16,Age,11020005,4
209,629,16,Sex,11020005,1
210,369,16,ExpendCode,11020005,'0'
211,368,16,Transfer,11020005,0
212,367,16,BefAf,11020005,0
213,365,16,DVExpend,11020005,0
214,364,16,Expenditure,11020005,0
215,329,16,DVPersons,11020005,2
216,328,16,Persons,11020005,2
217,313,16,Purpose,11020005,71
218,301,16,NumDays,11020005,1
219,300,16,NumNights,11020005,0
220,299,16,VisitBegan,11020005,'03012017'
221,153,16,Residence,11020005,372
222,152,16,Nationality,11020005,372
223,135,16,UKForeign,11020005,2
224,134,16,MainContra,11020005,1
225,133,16,Flow,11020005,1
226,119,16,NationName,11020005,'IRL  / Ireland'
