,SHIFT_PORT_GRP_PV,ARRIVEDEPART,WEEKDAY_END_PV,AM_PM_NIGHT_PV,MIGSI,POSS_SHIFT_CROSS,SAMP_SHIFT_CROSS,MIN_SH_WT,MEAN_SH_WT,MAX_SH_WT,COUNT_RESPS,SUM_SH_WT
2,111.0,1,0.0,1.0,,180.0,0.0,,,,,
3,111.0,2,0.0,1.0,,180.0,0.0,,,,,
4,113.0,1,0.0,1.0,,180.0,0.0,,,,,
5,113.0,2,0.0,1.0,,180.0,0.0,,,,,
0,119,1,1.0,1.0,10.0,,2.0,,,,0.0,
0,119,1,,,,,2.0,,,,0.0,
6,119.0,1,0.0,1.0,,180.0,0.0,,,,,
7,119.0,2,0.0,1.0,,180.0,0.0,,,,,
1,121,2,1.0,1.0,20.0,,1.0,,,,0.0,
1,121,2,,,,,1.0,,,,0.0,
8,121.0,1,0.0,1.0,,180.0,0.0,,,,,
9,121.0,2,0.0,1.0,,180.0,0.0,,,,,
10,123.0,1,0.0,1.0,,180.0,0.0,,,,,
11,123.0,2,0.0,1.0,,180.0,0.0,,,,,
12,131.0,1,0.0,1.0,,180.0,0.0,,,,,
13,131.0,2,0.0,1.0,,180.0,0.0,,,,,
14,132.0,1,0.0,1.0,,180.0,0.0,,,,,
15,132.0,2,0.0,1.0,,180.0,0.0,,,,,
16,133.0,1,0.0,1.0,,180.0,0.0,,,,,
17,133.0,2,0.0,1.0,,180.0,0.0,,,,,
18,134.0,1,0.0,1.0,,180.0,0.0,,,,,
19,134.0,2,0.0,1.0,,180.0,0.0,,,,,
20,135.0,1,0.0,1.0,,180.0,0.0,,,,,
21,135.0,2,0.0,1.0,,180.0,0.0,,,,,
22,141.0,1,0.0,1.0,,180.0,0.0,,,,,
23,141.0,2,0.0,1.0,,180.0,0.0,,,,,
24,142.0,1,0.0,1.0,,180.0,0.0,,,,,
25,142.0,2,0.0,1.0,,180.0,0.0,,,,,
26,143.0,1,0.0,1.0,,180.0,0.0,,,,,
27,143.0,2,0.0,1.0,,180.0,0.0,,,,,
28,144.0,1,0.0,1.0,,180.0,0.0,,,,,
29,144.0,2,0.0,1.0,,180.0,0.0,,,,,
30,145.0,1,0.0,1.0,,180.0,0.0,,,,,
31,145.0,2,0.0,1.0,,180.0,0.0,,,,,
32,151.0,1,0.0,1.0,,180.0,0.0,,,,,
33,151.0,2,0.0,1.0,,180.0,0.0,,,,,
34,152.0,1,0.0,1.0,,180.0,0.0,,,,,
35,152.0,2,0.0,1.0,,180.0,0.0,,,,,
36,153.0,1,0.0,1.0,,180.0,0.0,,,,,
37,153.0,2,0.0,1.0,,180.0,0.0,,,,,
38,154.0,1,0.0,1.0,,180.0,0.0,,,,,
39,154.0,2,0.0,1.0,,180.0,0.0,,,,,
40,181.0,1,0.0,1.0,,180.0,0.0,,,,,
41,181.0,2,0.0,1.0,,180.0,0.0,,,,,
42,183.0,1,0.0,1.0,,180.0,0.0,,,,,
43,183.0,2,0.0,1.0,,180.0,0.0,,,,,
44,189.0,1,0.0,1.0,,180.0,0.0,,,,,
45,189.0,2,0.0,1.0,,180.0,0.0,,,,,
46,191.0,1,0.0,1.0,,180.0,0.0,,,,,
47,191.0,2,0.0,1.0,,180.0,0.0,,,,,
48,192.0,1,0.0,1.0,,180.0,0.0,,,,,
49,192.0,2,0.0,1.0,,180.0,0.0,,,,,
50,193.0,1,0.0,1.0,,180.0,0.0,,,,,
51,193.0,2,0.0,1.0,,180.0,0.0,,,,,
52,199.0,1,0.0,1.0,,180.0,0.0,,,,,
53,199.0,2,0.0,1.0,,180.0,0.0,,,,,
54,201.0,1,0.0,1.0,,180.0,0.0,,,,,
55,201.0,2,0.0,1.0,,180.0,0.0,,,,,
56,202.0,1,0.0,1.0,,180.0,0.0,,,,,
57,202.0,2,0.0,1.0,,180.0,0.0,,,,,
58,203.0,1,0.0,1.0,,180.0,0.0,,,,,
59,203.0,2,0.0,1.0,,180.0,0.0,,,,,
60,204.0,1,0.0,1.0,,180.0,0.0,,,,,
61,204.0,2,0.0,1.0,,180.0,0.0,,,,,
62,211.0,1,0.0,1.0,,164.0,0.0,,,,,
63,211.0,2,0.0,1.0,,180.0,0.0,,,,,
64,213.0,1,0.0,1.0,,180.0,0.0,,,,,
65,213.0,2,0.0,1.0,,180.0,0.0,,,,,
66,219.0,1,0.0,1.0,,180.0,0.0,,,,,
67,219.0,2,0.0,1.0,,180.0,0.0,,,,,
68,221.0,1,0.0,1.0,,180.0,0.0,,,,,
69,221.0,2,0.0,1.0,,180.0,0.0,,,,,
70,223.0,1,0.0,1.0,,180.0,0.0,,,,,
71,223.0,2,0.0,1.0,,180.0,0.0,,,,,
72,231.0,1,0.0,1.0,,180.0,0.0,,,,,
73,231.0,2,0.0,1.0,,180.0,0.0,,,,,
74,233.0,1,0.0,1.0,,180.0,0.0,,,,,
75,233.0,2,0.0,1.0,,180.0,0.0,,,,,
76,234.0,1,0.0,1.0,,180.0,0.0,,,,,
77,234.0,2,0.0,1.0,,180.0,0.0,,,,,
78,241.0,1,0.0,1.0,,180.0,0.0,,,,,
79,241.0,2,0.0,1.0,,180.0,0.0,,,,,
80,243.0,1,0.0,1.0,,180.0,0.0,,,,,
81,243.0,2,0.0,1.0,,180.0,0.0,,,,,
82,249.0,1,0.0,1.0,,180.0,0.0,,,,,
83,249.0,2,0.0,1.0,,180.0,0.0,,,,,
84,311.0,1,0.0,1.0,,180.0,0.0,,,,,
85,311.0,2,0.0,1.0,,180.0,0.0,,,,,
86,313.0,1,0.0,1.0,,180.0,0.0,,,,,
87,313.0,2,0.0,1.0,,180.0,0.0,,,,,
88,319.0,1,0.0,1.0,,180.0,0.0,,,,,
89,319.0,2,0.0,1.0,,180.0,0.0,,,,,
90,321.0,1,0.0,1.0,,180.0,0.0,,,,,
91,321.0,2,0.0,1.0,,180.0,0.0,,,,,
92,323.0,1,0.0,1.0,,180.0,0.0,,,,,
